-0.18     0 0.785 -1.57     0     0     0     0	5.02739 8.26774
   -0.179954 -2.09175e-05     0.789454     -1.57931   0.00914099  -0.00418349     0.890762     -1.86118	9.43712 4.72348
   -0.180429 -0.000356079     0.800535     -1.59654    -0.104043   -0.0628488      1.32542     -1.58606	7.47608  6.9946
  -0.181816 -0.00117159    0.814045    -1.60807   -0.173371   -0.100254     1.37668   -0.718639	5.29235 8.73394
 -0.183649 -0.0023121   0.826321   -1.61529  -0.193187  -0.127847    1.07847  -0.726448	3.24063 10.3507
  -0.185465 -0.00361793    0.835042     -1.6217    -0.17014   -0.133319    0.665705   -0.555535	3.02773 10.3129
  -0.187028 -0.00493003     0.84093    -1.62632   -0.142416   -0.129102    0.511904   -0.367487	 2.8626 10.2478
  -0.188305 -0.00618759    0.845589    -1.62935   -0.113006    -0.12241    0.419837   -0.239979	2.73555 10.1448
  -0.189289 -0.00737417    0.849401     -1.6312  -0.0836885   -0.114906    0.342739   -0.129971	2.63871 10.0093
  -0.189977 -0.00847985    0.852739     -1.6326  -0.0540107    -0.10623    0.324849   -0.148469	2.56606 9.85454
  -0.190376 -0.00949736    0.855986    -1.63429  -0.0257014  -0.0972721    0.324391   -0.191273	2.54243 9.71466
   -0.190509   -0.0104334      0.85892     -1.63571 -0.000996803   -0.0899306      0.26242   -0.0916023	2.56084 9.58008
 -0.190412  -0.011305   0.861017   -1.63568  0.0204071 -0.0843939   0.156987  0.0963423	2.57044 9.40422
 -0.190113 -0.0121249   0.862136   -1.63398  0.0395223 -0.0795884  0.0668556    0.24506	2.54386 9.17886
 -0.189632 -0.0128965    0.86256   -1.63121  0.0565883 -0.0747297  0.0179299   0.308015	2.49455  8.9361
  -0.188994  -0.0136197    0.862612    -1.62802   0.0711014  -0.0699115 -0.00750248    0.329755	2.44666 8.70688
 -0.188225 -0.0142971   0.862397   -1.62455  0.0826092 -0.0655748 -0.0355751   0.364167	2.40578 8.49506
 -0.187356 -0.0149342   0.861858   -1.62064  0.0911976 -0.0618462 -0.0720449    0.41845	2.36069 8.28825
 -0.186413 -0.0155358   0.860969   -1.61622  0.0973023 -0.0584682  -0.105795   0.466636	2.30227 8.08039
  -0.18542 -0.0161038   0.859804   -1.61143   0.101303 -0.0551341  -0.127306   0.489522	2.23332 7.87856
 -0.184397 -0.0166381   0.858479   -1.60653   0.103371 -0.0517273  -0.137672   0.490992	2.16269 7.69341
 -0.183362 -0.0171382   0.857072   -1.60165   0.103602 -0.0482843  -0.143632   0.485284	2.09578 7.52924
 -0.182333 -0.0176038   0.855608   -1.59683   0.102172 -0.0448386  -0.149292   0.479833	2.03227 7.38382
 -0.181326 -0.0180347   0.854092   -1.59207  0.0993601 -0.0413488  -0.153882   0.472016	1.97042 7.25421
 -0.180352 -0.0184302   0.852547   -1.58742  0.0954573 -0.0377407  -0.155129   0.456912	1.91086  7.1404
 -0.179421 -0.0187888   0.851008   -1.58297  0.0906923 -0.0339724  -0.152593   0.433901	1.85632 7.04429
 -0.178541 -0.0191089   0.849506   -1.57877  0.0852368 -0.0300498   -0.14779     0.4063	1.80922 6.96687
